1,1,2025-09-30,180169000000,1.9800,91499000000,17422000000,21187000000
2,1,2025-06-30,167702000000,1.7100,86893000000,19171000000,18164000000
3,1,2025-03-31,155667000000,1.6200,78691000000,18405000000,17127000000
4,1,2024-12-31,187792000000,1.9000,88899000000,21203000000,20004000000
5,1,2024-09-30,158877000000,1.4600,77900000000,17411000000,15328000000
6,2,2025-09-30,102346000000,2.8900,60977000000,31228000000,34979000000
7,2,2025-06-30,96428000000,2.3300,57389000000,31271000000,28196000000
8,2,2025-03-31,90234000000,2.8400,53873000000,30606000000,34540000000
9,2,2024-12-31,96469000000,2.1700,55856000000,30972000000,26536000000
10,2,2024-09-30,88268000000,2.1400,51794000000,28521000000,26301000000
