date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2025-09-30,AMZN,USD,0001018724,2025-10-31,2025-10-30 18:18:21,2025,Q3,180169000000,88670000000,91499000000,28962000000,2875000000,11686000000,14561000000,30554000000,74077000000,162747000000,562000000,1100000000,538000000,16796000000,45504000000,28708000000,-11286000000,17422000000,10748000000,28170000000,6910000000,21260000000,0,-73000000,21187000000,0,21187000000,1.98,1.95,10674000000,10845000000
2025-06-30,AMZN,USD,0001018724,2025-08-01,2025-07-31 18:13:08,2025,Q2,167702000000,80809000000,86893000000,27166000000,2965000000,11416000000,14381000000,26175000000,67722000000,148531000000,569000000,1085000000,516000000,15227000000,36600000000,21373000000,-2202000000,19171000000,1686000000,20857000000,2678000000,18179000000,0,0,18164000000,0,18164000000,1.71,1.68,10637000000,10806000000
2025-03-31,AMZN,USD,0001018724,2025-05-02,2025-05-01 18:14:53,2025,Q1,155667000000,76976000000,78691000000,22994000000,2628000000,9763000000,12391000000,24901000000,60286000000,137262000000,525000000,1066000000,541000000,14262000000,36482000000,22220000000,-3815000000,18405000000,3274000000,21679000000,4553000000,17127000000,0,0,17127000000,0,17127000000,1.62,1.59,10603000000,10793000000
2024-12-31,AMZN,USD,0001018724,2025-02-07,2025-02-06 18:40:29,2024,Q4,187792000000,98893000000,88899000000,23571000000,2863000000,13124000000,15987000000,28138000000,67696000000,166589000000,678000000,1248000000,570000000,15631000000,38550000000,22919000000,-1716000000,21203000000,1126000000,22329000000,2325000000,20004000000,0,0,20004000000,0,20004000000,1.9,1.86,10473000000,10721000000
2024-09-30,AMZN,USD,0001018724,2024-11-01,2024-10-31 18:44:54,2024,Q3,158877000000,80977000000,77900000000,22245000000,2713000000,10609000000,13322000000,24922000000,60489000000,141466000000,653000000,1256000000,603000000,13442000000,32082000000,18640000000,-1229000000,17411000000,626000000,18037000000,2706000000,15331000000,0,-3000000,15328000000,0,15328000000,1.46,1.43,10501000000,10735000000
2025-09-30,GOOGL,USD,0001652044,2025-10-30,2025-10-29 21:55:01,2025,Q3,102346000000,41369000000,60977000000,15151000000,7393000000,7205000000,14598000000,0,29749000000,71118000000,933000000,1076000000,143000000,5611000000,49741000000,44130000000,-12902000000,31228000000,12759000000,43987000000,9008000000,34979000000,0,0,34979000000,0,34979000000,2.89,2.87,12086000000,12203000000
2025-06-30,GOOGL,USD,0001652044,2025-07-24,2025-07-23 19:44:01,2025,Q2,96428000000,39039000000,57389000000,13808000000,5209000000,7101000000,12310000000,0,26118000000,65157000000,789000000,1050000000,261000000,4998000000,39192000000,34194000000,-2923000000,31271000000,2662000000,33933000000,5737000000,28196000000,0,0,28196000000,0,28196000000,2.33,2.31,12122000000,12198000000
2025-03-31,GOOGL,USD,0001652044,2025-04-25,2025-04-24 21:05:29,2025,Q1,90234000000,36361000000,53873000000,13556000000,3539000000,6172000000,9711000000,0,23267000000,59628000000,967000000,1001000000,34000000,4487000000,46310000000,41823000000,-11217000000,30606000000,11183000000,41789000000,7249000000,34540000000,0,0,34540000000,0,34540000000,2.84,2.81,12183000000,12291000000
2024-12-31,GOOGL,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,Q4,96469000000,40613000000,55856000000,13116000000,4405000000,7363000000,11768000000,0,24884000000,65497000000,1035000000,1088000000,53000000,4205000000,36501000000,32296000000,-1324000000,30972000000,1271000000,32243000000,5707000000,26536000000,0,0,26536000000,0,26536000000,2.17,2.15,12228000000,12348000000
2024-09-30,GOOGL,USD,0001652044,2024-10-30,2024-10-29 19:33:10,2024,Q3,88268000000,36474000000,51794000000,12447000000,3599000000,7227000000,10826000000,0,23273000000,59747000000,1189000000,1243000000,54000000,3985000000,35745000000,31760000000,-3239000000,28521000000,3185000000,31706000000,5405000000,26301000000,0,0,26301000000,0,26301000000,2.14,2.12,12290000000,12419000000
